Composer---Artist Pair,No of tracks they have produced together
Nikki Sixx/Tommy Lee/Vince Neil-----Mötley Crüe,2
Paul Di'Anno/Steve Harris-----Iron Maiden,2
"Paul Stanley, Ace Frehley-----Kiss",2
"Paul Stanley, Vincent Poncia-----Kiss",2
Pearl Jam-----Pearl Jam,2
Ray Davies-----Van Halen,2
Richard Bull-----Incognito,2
"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord-----Deep Purple",2
"Richie Blackmore, Ian Gillian, Roger Glover-----Deep Purple",2
Robert Johnson-----Eric Clapton,2
Roger Taylor-----Queen,2
Salaam Remi-----Amy Winehouse,2
"Steven Tyler, Jim Vallance-----Aerosmith",2
"Steven Tyler, Joe Perry, Taylor Rhodes-----Aerosmith",2
Stevie Ray Vaughan-----Stevie Ray Vaughan & Double Trouble,2
Stone Gossard & Eddie Vedder-----Pearl Jam,2
Sully Erna; Tony Rombola-----Godsmack,2
Sérgio Britto-----Titãs,2
Taylor-----Queen,2
Traditional-----Led Zeppelin,2
cole porter-----Frank Sinatra,2
jon lord/roger glover-----Deep Purple,2
A. Jamal-----Miles Davis,1
A.Bouchard/J.Bouchard/S.Pearlman-----Metallica,1
A.Isbell/A.Jones/O.Redding-----The Black Crowes,1
Aaron Copland-----Aaron Copland & London Symphony Orchestra,1
Aaron Goldberg-----Aaron Goldberg,1
"Acyi Marques/Arlindo Bruz/Braço, Beto Sem/Zeca Pagodinho-----Zeca Pagodinho",1
Acyr Marques/Arlindo Cruz/Franco-----Zeca Pagodinho,1
Adalto Magalha/Lourenco-----Various Artists,1
Addie William Jones/Nat Jones-----James Brown,1
Adrian Smith/Bruce Dickinson/Nicko McBrain-----Iron Maiden,1
Adrian Smith/Clive Burr/Steve Harris-----Iron Maiden,1
Adrian Smith; Bruce Dickinson-----Iron Maiden,1
Adrian Vanderberg/David Coverdale-----David Coverdale,1
Adriano Bernandes/Edmar Neves-----Various Artists,1
Al Cleveland/Marvin Gaye/Renaldo Benson-----Marvin Gaye,1
Al Perkins/Willie Dixon-----Buddy Guy,1
Alba Carvalho/Fernando Porto-----Marcos Valle,1
Albert King-----Santana,1
Alcides Dias Lopes-----Zeca Pagodinho,1
